value,gnn_layers,batch_size,dropout,lr,epoch
58.98,1,8,0.0,2e-05,50
59.0,1,8,0.0,3e-05,50
58.93,1,8,0.0,4e-05,50
58.85,1,8,0.0,5e-05,40
58.9,1,8,0.0,6e-05,30
58.71,1,8,0.0,7e-05,30
59.08,1,8,0.1,8e-06,100
59.15,1,8,0.1,9e-06,80
58.94,1,8,0.1,1e-05,70
58.94,1,8,0.1,2e-05,50
58.87,1,8,0.1,3e-05,50
58.79,1,8,0.1,4e-05,50
58.9,1,8,0.1,5e-05,40
58.88,1,8,0.1,6e-05,30
58.87,1,8,0.1,7e-05,30
59.18,1,8,0.2,8e-06,100
59.09,1,8,0.2,9e-06,80
59.04,1,8,0.2,1e-05,70
59.1,1,8,0.2,2e-05,50
58.96,1,8,0.2,3e-05,50
58.9,1,8,0.2,4e-05,50
58.92,1,8,0.2,5e-05,40
59.09,1,8,0.2,6e-05,30
58.96,1,8,0.2,7e-05,30
59.12,1,8,0.3,8e-06,100
59.2,1,8,0.3,9e-06,80
59.08,1,8,0.3,1e-05,70
59.14,1,8,0.3,2e-05,50
58.89,1,8,0.3,3e-05,50
59.02,1,8,0.3,4e-05,50
58.87,1,8,0.3,5e-05,40
59.05,1,8,0.3,6e-05,30
59.08,1,8,0.3,7e-05,30
59.11,1,8,0.4,8e-06,100
59.04,1,8,0.4,9e-06,80
58.89,1,8,0.4,1e-05,70
58.78,1,8,0.4,2e-05,50
58.82,1,8,0.4,3e-05,50
58.95,1,8,0.4,4e-05,50
58.89,1,8,0.4,5e-05,40
58.64,1,8,0.4,6e-05,30
58.69,1,8,0.4,7e-05,30
59.01,1,8,0.5,8e-06,100
59.07,1,8,0.5,9e-06,80
59.2,1,8,0.5,1e-05,70
58.91,1,8,0.5,2e-05,50
59.31,1,8,0.5,3e-05,50
59.02,1,8,0.5,4e-05,50
58.99,1,8,0.5,5e-05,40
58.98,1,8,0.5,6e-05,30
58.92,1,8,0.5,7e-05,30
