value,gnn_layers,batch_size,dropout,lr,epoch
38.85,1,16,0.3,0.0009,40
38.97,1,16,0.3,0.001,30
38.95,1,16,0.4,0.0001,100
39.36,1,16,0.4,0.0002,70
38.89,1,16,0.4,0.0003,60
38.73,1,16,0.4,0.0004,50
39.07,1,16,0.4,0.0005,50
38.93,1,16,0.4,0.0006,50
39.78,1,16,0.4,0.0007,50
38.31,1,16,0.4,0.0008,40
38.52,1,16,0.4,0.0009,40
38.47,1,16,0.4,0.001,30
38.88,1,16,0.5,0.0001,100
38.94,1,16,0.5,0.0002,70
39.32,1,16,0.5,0.0003,60
38.56,1,16,0.5,0.0004,50
39.04,1,16,0.5,0.0005,50
38.54,1,16,0.5,0.0006,50
39.23,1,16,0.5,0.0007,50
39.05,1,16,0.5,0.0008,40
38.93,1,16,0.5,0.0009,40
39.14,1,16,0.5,0.001,30
38.94,1,16,0.6,0.0001,100
38.72,1,16,0.6,0.0002,70
38.79,1,16,0.6,0.0003,60
39.0,1,16,0.6,0.0004,50
38.86,1,16,0.6,0.0005,50
38.6,1,16,0.6,0.0006,50
38.9,1,16,0.6,0.0007,50
39.56,1,16,0.6,0.0008,40
38.25,1,16,0.6,0.0009,40
39.37,1,16,0.6,0.001,30
39.23,1,16,0.7,0.0001,100
38.8,1,16,0.7,0.0002,70
39.13,1,16,0.7,0.0003,60
38.47,1,16,0.7,0.0004,50
39.45,1,16,0.7,0.0005,50
38.86,1,16,0.7,0.0006,50
39.08,1,16,0.7,0.0007,50
38.36,1,16,0.7,0.0008,40
38.36,1,16,0.7,0.0009,40
38.54,1,16,0.7,0.001,30
39.37,1,16,0.8,0.0001,100
38.63,1,16,0.8,0.0002,70
38.72,1,16,0.8,0.0003,60
38.81,1,16,0.8,0.0004,50
38.82,1,16,0.8,0.0005,50
39.44,1,16,0.8,0.0006,50
38.68,1,16,0.8,0.0007,50
38.96,1,16,0.8,0.0008,40
38.94,1,16,0.8,0.0009,40
39.47,1,16,0.8,0.001,30
39.39,1,16,0.9,0.0001,100
39.39,1,16,0.9,0.0002,70
38.26,1,16,0.9,0.0003,60
38.76,1,16,0.9,0.0004,50
37.99,1,16,0.9,0.0005,50
38.08,1,16,0.9,0.0006,50
38.12,1,16,0.9,0.0007,50
38.35,1,16,0.9,0.0008,40
37.81,1,16,0.9,0.0009,40
38.15,1,16,0.9,0.001,30
38.56,1,8,0.0,0.0001,100
38.41,1,8,0.0,0.0002,70
38.59,1,8,0.0,0.0003,60
39.32,1,8,0.0,0.0004,50
39.16,1,8,0.0,0.0005,50
39.3,1,8,0.0,0.0006,50
38.99,1,8,0.0,0.0007,50
38.64,1,8,0.0,0.0008,40
38.56,1,8,0.0,0.0009,40
39.26,1,8,0.0,0.001,30
39.38,1,8,0.1,0.0001,100
38.3,1,8,0.1,0.0002,70
38.5,1,8,0.1,0.0003,60
39.66,1,8,0.1,0.0004,50
38.73,1,8,0.1,0.0005,50
38.96,1,8,0.1,0.0006,50
38.63,1,8,0.1,0.0007,50
38.8,1,8,0.1,0.0008,40
38.31,1,8,0.1,0.0009,40
39.23,1,8,0.1,0.001,30
38.93,1,8,0.2,0.0001,100
38.73,1,8,0.2,0.0002,70
38.35,1,8,0.2,0.0003,60
38.71,1,8,0.2,0.0004,50
38.94,1,8,0.2,0.0005,50
38.82,1,8,0.2,0.0006,50
38.36,1,8,0.2,0.0007,50
38.81,1,8,0.2,0.0008,40
39.0,1,8,0.2,0.0009,40
38.7,1,8,0.2,0.001,30
38.76,1,8,0.3,0.0001,100
38.5,1,8,0.3,0.0002,70
38.98,1,8,0.3,0.0003,60
39.36,1,8,0.3,0.0004,50
38.96,1,8,0.3,0.0005,50
38.42,1,8,0.3,0.0006,50
38.46,1,8,0.3,0.0007,50
38.33,1,8,0.3,0.0008,40
38.72,1,8,0.3,0.0009,40
38.87,1,8,0.3,0.001,30
38.91,1,8,0.4,0.0001,100
38.98,1,8,0.4,0.0002,70
38.66,1,8,0.4,0.0003,60
38.83,1,8,0.4,0.0004,50
38.86,1,8,0.4,0.0005,50
38.26,1,8,0.4,0.0006,50
38.7,1,8,0.4,0.0007,50
38.67,1,8,0.4,0.0008,40
38.91,1,8,0.4,0.0009,40
38.12,1,8,0.4,0.001,30
38.74,1,8,0.5,0.0001,100
38.76,1,8,0.5,0.0002,70
39.32,1,8,0.5,0.0003,60
38.86,1,8,0.5,0.0004,50
39.11,1,8,0.5,0.0005,50
38.65,1,8,0.5,0.0006,50
38.62,1,8,0.5,0.0007,50
38.03,1,8,0.5,0.0008,40
39.68,1,8,0.5,0.0009,40
38.86,1,8,0.5,0.001,30
38.88,1,8,0.6,0.0001,100
39.26,1,8,0.6,0.0002,70
38.71,1,8,0.6,0.0003,60
38.95,1,8,0.6,0.0004,50
38.96,1,8,0.6,0.0005,50
38.78,1,8,0.6,0.0006,50
38.38,1,8,0.6,0.0007,50
39.05,1,8,0.6,0.0008,40
38.67,1,8,0.6,0.0009,40
38.37,1,8,0.6,0.001,30
38.97,1,8,0.7,0.0001,100
38.75,1,8,0.7,0.0002,70
38.86,1,8,0.7,0.0003,60
38.71,1,8,0.7,0.0004,50
39.38,1,8,0.7,0.0005,50
38.86,1,8,0.7,0.0006,50
39.28,1,8,0.7,0.0007,50
38.62,1,8,0.7,0.0008,40
38.93,1,8,0.7,0.0009,40
38.65,1,8,0.7,0.001,30
39.3,1,8,0.8,0.0001,100
38.61,1,8,0.8,0.0002,70
39.33,1,8,0.8,0.0003,60
38.62,1,8,0.8,0.0004,50
38.61,1,8,0.8,0.0005,50
38.87,1,8,0.8,0.0006,50
38.93,1,8,0.8,0.0007,50
38.85,1,8,0.8,0.0008,40
38.53,1,8,0.8,0.0009,40
38.16,1,8,0.8,0.001,30
39.14,1,8,0.9,0.0001,100
38.67,1,8,0.9,0.0002,70
38.23,1,8,0.9,0.0003,60
39.09,1,8,0.9,0.0004,50
39.45,1,8,0.9,0.0005,50
39.04,1,8,0.9,0.0006,50
38.68,1,8,0.9,0.0007,50
38.41,1,8,0.9,0.0008,40
37.6,1,8,0.9,0.0009,40
38.53,1,8,0.9,0.001,30
